Site,,Upper,UM_N,UM_S,M_N,M_S,LM_N,LM_S,L_N,Base
Elevation (m),,1780,1706,1707,1659,1661,1613,1615,1553,1508
Aspect,,SE,N,S,N,S,N,S,N,SE
Total Precip (mm),October 2013,22.7,22.37,22.38,,,,,,
,November 2013,61.2,57.02,57.07,,,,,,
,December 2013,40.3,36.72,36.76,,,,,,
,January 2014,57.9,52.87,52.93,,,,,,
,February 2014,144.6,135.01,135.12,,,,,,
,March 2014,113.3,103,103.12,,,,,,
,April 2014,50.5,45.69,45.75,,,,,,
SWI (mm),October 2013,12.62,15.96,13.87,,,,,,
,November 2013,41.76,50.97,32.45,,,,,,
,December 2013,47.43,47.88,21.53,,,,,,
,January 2014,90.54,121.04,26,,,,,,
,February 2014,90.55,178.21,111.8,,,,,,
,March 2014,52.65,76.47,54.8,,,,,,
,April 2014,21.66,20.55,20.56,,,,,,
