Sample_Name,Date_Time,Ca.µeq.L,DOC.mg.L
W-9,3/19/1996 11:50,946.2,1.04
W-9,3/26/1996 11:40,830.9,2.05
W-9,3/26/1996 11:40,894.3,1.41
W-9,4/1/1996 18:30,773.5,2.06
W-9,4/2/1996 11:05,876.3,1.51
W-9,4/2/1996 17:10,786,1.51
W-9,4/5/1996 12:45,828.4,1.27
W-9,4/9/1996 13:30,853.3,1.43
W-9,4/9/1996 13:30,1014,1.19
W-9,4/11/1996 16:23,768.5,1.49
W-9,4/12/1996 9:45,810.9,1.41
W-9,4/12/1996 17:59,776,1.5
W-9,4/14/1996 9:10,820.9,1.33
W-9,4/14/1996 17:00,875.8,1.42
W-9,4/15/1996 9:03,860.8,1.38
W-9,4/15/1996 16:18,768.5,1.59
W-9,4/16/1996 7:00,751,2.16
W-9,4/16/1996 13:00,696.1,2.49
W-9,4/16/1996 13:15,812.4,2.11
W-9,4/16/1996 16:08,643.7,2.24
W-9,4/16/1996 18:55,608.8,2.63
W-9,4/16/1996 19:00,631.3,2.89
W-9,4/17/1996 7:00,703.6,2.54
W-9,4/17/1996 22:00,723.6,2.28
W-9,4/18/1996 18:30,748.5,1.97
W-9,4/19/1996 10:00,763.5,2.44
W-9,4/19/1996 19:00,681.2,2.75
W-9,4/20/1996 7:00,698.6,2.22
W-9,4/20/1996 13:00,648.7,2.35
W-9,4/20/1996 19:05,586.4,3.1
W-9,4/21/1996 1:00,546.4,2.75
W-9,4/21/1996 4:00,466.6,3.08
W-9,4/21/1996 8:44,514,3.02
W-9,4/21/1996 11:29,469.1,2.86
W-9,4/21/1996 13:01,466.6,3.3
W-9,4/22/1996 10:00,591.3,2.23
W-9,4/22/1996 16:00,519,2.74
W-9,4/22/1996 19:00,514,2.75
W-9,4/22/1996 22:00,516.5,2.6
W-9,4/23/1996 10:00,536.5,2.37
W-9,4/23/1996 11:05,646.7,2.4
W-9,4/23/1996 16:45,489,2.94
W-9,4/23/1996 18:10,449.1,3.22
W-9,4/23/1996 19:00,441.6,3.05
W-9,4/23/1996 20:03,436.6,3.37
W-9,4/24/1996 1:00,456.6,3.03
W-9,4/24/1996 11:20,506.5,2.49
W-9,4/24/1996 19:00,539,3.17
W-9,4/30/1996 11:55,678.7,1.62
W-9,5/1/1996 1:00,531.5,3.06
W-9,5/2/1996 13:00,656.2,2.22
W-9,5/4/1996 10:29,648.7,2.05
W-9,5/7/1996 11:25,696.6,1.56
W-9,5/8/1996 10:45,736.1,1.78
W-9,5/9/1996 18:14,773.5,1.68
